Nombre;Tipo;Numeración;Nombre_limpio;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7;Token8;Token9;Token10;Token11;Token12;Token13;Token14
jardin de infantes n°06 rosario v.peñaloza;jardin de infantes;n°06;rosario v.peñaloza;rosario;v.peñaloza;;;;;;;;;;;;;
esc.n°263 parroquial pio xii;esc.;n°263;parroquial pio xii;parroquial;pio;xii;;;;;;;;;;;;
esc.operadores topografos general san martin;esc.;;operadores topografos general san martin;operadores;topografos;general;san;martin;;;;;;;;;;
e.p.e.t. n°1;;n°1;e.p.e.t.;e.p.e.t.;;;;;;;;;;;;;;
i.s.f.d. en educacion fisica ricardo n.viñas;;;i.s.f.d. en educacion fisica ricardo n.viñas;i.s.f.d.;en;educacion;fisica;ricardo;n.viñas;;;;;;;;;
esc.n°037 provincia de santa fe;esc.;n°037;provincia de santa fe;provincia;de;santa;fe;;;;;;;;;;;
esc.n°397 mercedita de san martin;esc.;n°397;mercedita de san martin;mercedita;de;san;martin;;;;;;;;;;;
centro educativo de nivel secundario (c.e.n.s.)n°187;;n°187;centro educativo de nivel secundario (c.e.n.s.);centro;educativo;de;nivel;secundario;(c.e.n.s.);;;;;;;;;
esc.n°392 privada bilingue dante alighieri;esc.;n°392;privada bilingue dante alighieri;privada;bilingue;dante;alighieri;;;;;;;;;;;
esc.n°127 capital federal;esc.;n°127;capital federal;capital;federal;;;;;;;;;;;;;
jardin de infantes n°04 ovidio decroly;jardin de infantes;n°04;ovidio decroly;ovidio;decroly;;;;;;;;;;;;;
esc.n°254 sagrado corazon de jesus;esc.;n°254;sagrado corazon de jesus;sagrado;corazon;de;jesus;;;;;;;;;;;
esc.provincial de comercio n°2 inspector carlos a. lanzillot;esc.;n°2;provincial de comercio  inspector carlos a. lanzillot;provincial;de;comercio;;inspector;carlos;a.;lanzillot;;;;;;;
esc.provincial de comercio brigadier gral j.f.quiroga;esc.;;provincial de comercio brigadier gral j.f.quiroga;provincial;de;comercio;brigadier;gral;j.f.quiroga;;;;;;;;;
colegio provincial rosario v.peñaloza;colegio;;provincial rosario v.peñaloza;provincial;rosario;v.peñaloza;;;;;;;;;;;;
colegio provincial rosario v.peñaloza (esc.n°135 jose a. quiroga soaje);colegio;n°135;provincial rosario v.peñaloza ( jose a. quiroga soaje);provincial;rosario;v.peñaloza;(;jose;a.;quiroga;soaje);;;;;;;
esc.n°125 rosario vera peñaloza;esc.;n°125;rosario vera peñaloza;rosario;vera;peñaloza;;;;;;;;;;;;
i.s.f.d. dr.eusebio n.paez;;;i.s.f.d. dr.eusebio n.paez;i.s.f.d.;dr.eusebio;n.paez;;;;;;;;;;;;
esc.n°352 guillermo paez;esc.;n°352;guillermo paez;guillermo;paez;;;;;;;;;;;;;
jardin de infantes n°19 rosarito;jardin de infantes;n°19;rosarito;rosarito;;;;;;;;;;;;;;
esc.n°018 alicia carrizo;esc.;n°018;alicia carrizo;alicia;carrizo;;;;;;;;;;;;;
escuela especial n°379 amor y esperanza;escuela;n°379;especial  amor y esperanza;especial;;amor;y;esperanza;;;;;;;;;;
esc.n°259 nicolas davila;esc.;n°259;nicolas davila;nicolas;davila;;;;;;;;;;;;;
esc.n°260 juan ramirez de velasco;esc.;n°260;juan ramirez de velasco;juan;ramirez;de;velasco;;;;;;;;;;;
esc.normal superior dr.pedro ignacio de castro barros(nivel secundario);esc.;;normal superior dr.pedro ignacio de castro barros(nivel secundario);normal;superior;dr.pedro;ignacio;de;castro;barros(nivel;secundario);;;;;;;
esc.n°244 francisco telechea;esc.;n°244;francisco telechea;francisco;telechea;;;;;;;;;;;;;
esc.n°243 gdor.benjamin de la vega;esc.;n°243;gdor.benjamin de la vega;gdor.benjamin;de;la;vega;;;;;;;;;;;
escuela especial n°371 maria madre del buen camino;escuela;n°371;especial  maria madre del buen camino;especial;;maria;madre;del;buen;camino;;;;;;;;
esc.n°250 bartolome mitre;esc.;n°250;bartolome mitre;bartolome;mitre;;;;;;;;;;;;;
escuela especial n°389 tinkunaco;escuela;n°389;especial  tinkunaco;especial;;tinkunaco;;;;;;;;;;;;
jardin de infantes n°22 gregoria bravo de soria;jardin de infantes;n°22;gregoria bravo de soria;gregoria;bravo;de;soria;;;;;;;;;;;
esc.n°177 dr.mariano moreno;esc.;n°177;dr.mariano moreno;dr.mariano;moreno;;;;;;;;;;;;;
centro educativo de nivel secundario (c.e.n.s.) 150;;;centro educativo de nivel secundario (c.e.n.s.) 150;centro;educativo;de;nivel;secundario;(c.e.n.s.);150;;;;;;;;
instituto privado manuel belgrano;instituto;;privado manuel belgrano;privado;manuel;belgrano;;;;;;;;;;;;
centro educativo san francisco de asis (ex. escuela 247);escuela;;centro educativo san francisco de asis (ex.  247);centro;educativo;san;francisco;de;asis;(ex.;;247);;;;;;
esc.n°251 ceferino namuncura;esc.;n°251;ceferino namuncura;ceferino;namuncura;;;;;;;;;;;;;
colegio provincial politecnico juan ramirez de velazco;colegio;;provincial politecnico juan ramirez de velazco;provincial;politecnico;juan;ramirez;de;velazco;;;;;;;;;
jardin de infantes n°30 profesora patricia schaller;jardin de infantes;n°30;profesora patricia schaller;profesora;patricia;schaller;;;;;;;;;;;;
e.p.e.t. n°2 brigadier general juan facundo quiroga;;n°2;e.p.e.t.  brigadier general juan facundo quiroga;e.p.e.t.;;brigadier;general;juan;facundo;quiroga;;;;;;;;
